balance,purchases,oneoff_purch,inst_purch,cash_adv,purch_trx,credit_lim,payments
0.3717999845037605,0.0,0.5714161211177449,0.0,0.24467564003045578,0.34678636530669726,0.37525264598711616,0.3937471747937697
0.5948057182347246,0.0,0.0,0.8816628124488384,0.0,0.5873628470979813,0.6356597712558147,0.5782925068125725
0.5702988613884757,0.7560956992972155,0.0,0.0,1.0,0.5990469214398085,0.4748297963138589,0.5342134704212541
0.47186422892963165,0.35601718972474944,0.0,0.0,0.12875825643130798,0.39227422368807846,0.4821670031338779,0.4612575834291945
0.5431285612023088,0.0,0.837019175016466,0.0,0.7608861051351811,0.4476041677680964,0.5430693790566821,0.6460713922077846
0.5437812352503096,0.0,0.7292162695942126,0.0,1.0,0.4664615261058015,0.48226205129334904,0.5215067699855602
0.4882602290312053,0.7413620997068161,0.64985739995488,0.0,0.44581401581085417,0.5873628470979813,0.4834596953259626,0.48033326187323494
0.4092215597537015,0.8029858382952535,0.0,0.0,0.24467564003045578,0.6804420786318426,0.5260522297490561,0.3680995172299042
0.5119844817776067,0.0,0.8019958927127543,0.0,1.0,0.39227422368807846,0.5202431191065184,0.6387476668082366
0.4586607693663829,0.8168524290066306,0.0,0.0,0.3498187347410086,0.4599104740347045,0.48572666071740683,0.4041842208511923
0.5268764360995553,0.8630550719371042,0.7781212362673445,0.0,1.0,0.49878252981384874,0.47282283816859527,0.5149692492055161
0.48022810636672103,0.6977506673943188,0.8605287543473134,0.0,0.826435444277886,0.5990469214398085,0.5582629296644666,0.46339866063302404
0.5809119460550413,0.0,0.0,0.5835958457099412,0.0,0.49878252981384874,0.49655108545673604,0.5713003309911355
0.6841595696915337,0.0,0.8546394890549364,0.7760485472152787,0.6153033249840806,0.6100368313137211,0.5746170312911452,0.6367106019447692
0.5549984315583444,0.0,0.0,0.7955393469784932,0.0,0.49878252981384874,0.43391900452669446,0.4937582193719562
0.3719385941489686,0.0,0.7464401211859519,0.0,0.5339595460915694,0.4766409997356819,0.39393162292706574,0.3432856191352135
0.5516736080771777,0.6053986723327821,0.7037386340400373,0.0,0.7608861051351811,0.7491676397495487,0.5619084817270884,0.548278589067959
0.6043251874939384,0.0,0.7202266315500453,0.0,1.0,0.523359000254909,0.5176320135431304,0.7362450956484154
0.5528313152487981,0.0,0.6369275775608105,0.0,0.7608861051351811,0.4599104740347045,0.38385967743160754,0.740411837054104
0.6732799914107841,0.9372309275636864,0.7322954474050167,0.5417563206961258,1.0,0.6841105520243211,0.5779042655321913,0.6159531204226042
